pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12,pr13,pi13,clr1,cli1,clr2,cli2,clr3,cli3,clr4,cli4,clr5,cli5,clr6,cli6,clr7,cli7,clr8,cli8,clr9,cli9,clr10,cli10,clr11,cli11,clr12,cli12,clr13,cli13
-0.6176502267,0,-3.278330715,0,-169.1194736,0,-145.5457283,0,-66.66665299,0,-66.66668034,0,-22.33976312,0,-21.30406523,16.93021252,-21.30406523,-16.93021252,-0.05075786791,3.154882535,-0.05075786791,-3.154882535,-4.01084873,0,-3.318730039,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.6175839752,0,-3.299180946,-7.009580686e-07,-169.1194736,0,-145.5277715,0,-66.66666667,-6.131068667e-06,-66.66666667,6.131068667e-06,-22.33976312,0,-21.31246549,16.9376012,-21.31246549,-16.9376012,-0.05071855734,3.15484875,-0.05071855734,-3.15484875,-4.01084873,0,-3.299180946,7.009580686e-07,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.6175178875,0,-3.299830477,-0.02016248051,-169.1194736,0,-145.5098102,0,-66.66665485,0,-66.66667849,0,-22.33976312,0,-21.3208689,16.94498488,-21.3208689,-16.94498488,-0.05067929881,3.154815045,-0.05067929881,-3.154815045,-4.01084873,0,-3.299830477,0.02016248051,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5996682325,0,-3.498157051,-0.2912684567,-169.1194736,0,-137.8163521,0,-66.66665441,0,-66.66667893,0,-22.33976312,0,-24.99059283,19.56082885,-24.99059283,-19.56082885,-0.03828270596,3.145779851,-0.03828270596,-3.145779851,-4.01084873,0,-3.498157051,0.2912684567,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5949235593,0,-3.559485483,-0.3080957656,-169.1194736,0,-133.9645573,0,-66.66665506,0,-66.66667827,0,-22.33976312,0,-26.86148997,20.53080103,-26.86148997,-20.53080103,-0.03432685533,3.143475831,-0.03432685533,-3.143475831,-4.01084873,0,-3.559485483,0.3080957656,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5912827613,0,-3.609323246,-0.3123193236,-169.1194736,0,-129.8528694,0,-66.66664808,0,-66.66668526,0,-22.33976312,0,-28.8725586,21.36493021,-28.8725586,-21.36493021,-0.03108478902,3.141765979,-0.03108478902,-3.141765979,-4.01084873,0,-3.609323246,0.3123193236,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5860603274,0,-3.685287847,-0.3031818203,-169.1194736,0,-120.5885628,0,-66.66664552,0,-66.66668781,0,-22.33976312,0,-33.43633449,22.6062773,-33.43633449,-22.6062773,-0.02610883177,3.139431102,-0.02610883177,-3.139431102,-4.01084873,0,-3.685287847,0.3031818203,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5835288556,0,-3.724101982,-0.290794743,-169.1194736,0,-113.2078046,0,-66.66664143,0,-66.6666919,0,-22.33976312,0,-37.09171892,23.06453072,-37.09171892,-23.06453072,-0.02355510543,3.138360915,-0.02355510543,-3.138360915,-4.01084873,0,-3.724101982,0.290794743,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5815089598,0,-3.756042082,-0.27610208,-169.1194736,0,-104.2478314,0,-66.66662873,0,-66.6667046,0,-22.33976312,0,-41.54288061,23.10107153,-41.54288061,-23.10107153,-0.02144985504,3.137540916,-0.02144985504,-3.137540916,-4.01084873,0,-3.756042082,0.27610208,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5784874512,0,-3.80547312,-0.2435022783,-169.1194736,0,-67.18703409,0,-66.66666664,0.0001592080495,-66.66666664,-0.0001592080495,-22.33976312,0,-60.02862137,22.04906657,-60.02862137,-22.04906657,-0.01818749927,3.13637748,-0.01818749927,-3.13637748,-4.01084873,0,-3.80547312,0.2435022783,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
