"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y","vehicle_local_position_groundtruth->vx_x","vehicle_local_position_groundtruth->vx_y"
1526.008,2.424049377,1526.008,4.309999943,
1526.108,2.857709646,1526.108,4.279999733,
1526.208,3.280250311,1526.208,4.119999886,
1526.308,3.680552006,1526.308,3.849999905,
1526.408,4.047495365,1526.408,3.5,
1526.508,4.381080151,1526.508,3.069999933,
1526.608,4.670186996,1526.608,2.579999924,
1526.708,4.892576694,1526.708,2.069999933,
1526.808,5.081608295,1526.808,1.539999962,
1526.908,5.203922749,1526.908,1.019999981,
1527.008,5.281758785,1527.008,0.5399999619,
1527.108,5.315117359,1527.108,0.1099999994,
1527.208,5.303997993,1527.208,-0.2399999946,
1527.308,5.27063942,1527.308,-0.5199999809,
1527.408,5.203922749,1527.408,-0.7099999785,
1527.508,5.126086235,1527.508,-0.8299999833,
1527.608,5.037130356,1527.608,-0.9300000072,
1527.708,4.937054634,1527.708,-1,
1527.808,4.836979389,1527.808,-0.9899999499,
1527.908,4.74802351,1527.908,-0.9099999666,
1528.008,4.659067631,1528.008,-0.7999999523,
1528.108,4.581231117,1528.108,-0.6699999571,
1528.208,4.525633335,1528.208,-0.5099999905,
1528.308,4.481155396,1528.308,-0.3199999928,
1528.408,4.458916664,1528.408,-0.1299999952,
1528.508,4.458916664,1528.508,0.04999999702,
1528.608,4.47003603,1528.608,0.2099999934,
1528.708,4.503394604,1528.708,0.349999994,
1528.808,4.536753178,1528.808,0.4599999785,
1528.904,4.592350483,1528.904,0.5299999714,
1529.008,4.647947788,1529.008,0.5699999928,
1529.108,4.70354557,1529.108,0.5699999928,
1529.208,4.759142876,1529.208,0.5500000119,
1529.308,4.814740181,1529.308,0.5099999905,
1529.408,4.870337963,1529.408,0.4399999976,
1529.508,4.90369606,1529.508,0.3700000048,
1529.608,4.937054634,1529.608,0.2899999917,
1529.708,4.970413208,1529.708,0.2099999934,
1529.808,4.981532574,1529.808,0.1299999952,
1529.908,4.992652416,1529.908,0.05999999866,
1530.008,4.992652416,1530.008,0,
1530.108,4.992652416,1530.108,-0.03999999911,
1530.208,4.992652416,1530.208,-0.0700000003,
1530.308,4.981532574,1530.308,-0.09999999404,
1530.408,4.970413208,1530.408,-0.1099999994,
1530.508,4.959293842,1530.508,-0.1099999994,
1530.608,4.948174,1530.608,-0.1099999994,
1530.708,4.937054634,1530.708,-0.09999999404,
1530.808,4.925935268,1530.808,-0.07999999821,
1530.908,4.914815903,1530.908,-0.05999999866,
1531.008,4.914815903,1531.008,-0.03999999911,
1531.108,4.90369606,1531.108,-0.01999999955,
1531.208,4.90369606,1531.208,0,
1531.308,4.90369606,1531.308,0.009999999776,
1531.408,4.90369606,1531.408,0.02999999933,
1531.508,4.914815903,1531.508,0.03999999911,
1531.608,4.914815903,1531.608,0.04999999702,
1531.708,4.925935268,1531.708,0.05999999866,
1531.808,4.925935268,1531.808,0.05999999866,
1531.908,4.937054634,1531.908,0.05999999866,
1532.008,4.937054634,1532.008,0.05999999866,
1532.108,4.948174,1532.108,0.05999999866,
1532.208,4.959293842,1532.208,0.04999999702,
1532.308,4.959293842,1532.308,0.04999999702,
1532.408,4.959293842,1532.408,0.03999999911,
1532.508,4.970413208,1532.508,0.02999999933,
1532.608,4.970413208,1532.608,0.01999999955,
1532.708,4.970413208,1532.708,0.01999999955,
1532.808,4.981532574,1532.808,0.009999999776,
1532.908,4.981532574,1532.908,0.009999999776,
1533.008,4.981532574,1533.008,0,
1533.108,4.981532574,1533.108,0,
1533.208,4.981532574,1533.208,0,
1533.308,4.981532574,1533.308,0,
1533.408,4.981532574,1533.408,0,
1533.508,4.981532574,1533.508,0,
1533.608,4.981532574,1533.608,0,
1533.708,4.981532574,1533.708,0,
1533.808,4.981532574,1533.808,0,
1533.908,4.981532574,1533.908,0,
1534.008,4.981532574,1534.008,0,
1534.108,4.981532574,1534.108,0,
1534.208,4.981532574,1534.208,0.009999999776,
1534.308,4.981532574,1534.308,0.009999999776,
1534.408,4.981532574,1534.408,0.009999999776,
1534.508,4.981532574,1534.508,0.009999999776,
1534.608,4.981532574,1534.608,0.01999999955,
1534.708,4.992652416,1534.708,0.01999999955,
1534.808,4.992652416,1534.808,0.009999999776,
1534.908,4.992652416,1534.908,0.009999999776,
1535.008,4.992652416,1535.008,0.009999999776,
1535.108,4.992652416,1535.108,0.009999999776,
1535.208,4.992652416,1535.208,0.009999999776,
1535.308,4.992652416,1535.308,0,
1535.408,5.003771782,1535.408,0,
1535.508,5.003771782,1535.508,0,
1535.608,5.003771782,1535.608,0,
