timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
138785010,-33.924495321653716,18.86639610273614,130.00034,159.25082,-0.0,0.9821911,1.6877757,0.0,2,0,0,0
139785054,-33.92449455257256,18.86639685115489,130.02919,159.25772,-0.0,0.98236936,1.6873523,0.0,2,0,0,0
140785109,-33.9244935937773,18.866397017833677,130.04553,159.2734,-0.0,0.98228717,1.6878709,0.0,2,0,0,0
141785139,-33.924492797045595,18.866396909051165,130.08942,159.32344,-0.0,0.9823358,1.6874474,0.0,2,0,0,0
142785180,-33.92449293591804,18.866396591165458,130.06049,159.30127,-0.0,0.9825407,1.6879691,0.0,2,0,0,0
143785223,-33.924494262855184,18.866396545666994,129.98888,159.24643,-0.0,0.9828003,1.6875434,0.0,2,0,0,0
144785264,-33.924494853131094,18.866396448213766,130.00879,159.30069,-0.0,0.98273784,1.6871166,0.0,2,0,0,0
145785304,-33.92449867486339,18.86639705958975,130.08868,159.42188,-0.0,0.9825634,1.6876322,0.0,2,0,0,0
146785345,-33.92450756131772,18.866397539504852,130.1694,159.54309,-0.0,0.98259,1.6872094,0.0,2,0,0,0
147785385,-33.92451916748063,18.866397213859504,130.31429,159.7092,-0.0,0.9831051,1.6877265,0.0,2,0,0,0
148785430,-33.924529842842574,18.86639652619761,130.49544,159.87097,-0.0,0.9835157,1.6872982,0.0,2,0,0,0
149785462,-33.92454116680149,18.866395294770587,130.55609,159.8731,-0.0,0.98355484,1.6878135,0.0,2,0,0,0
150785500,-33.924552308592894,18.866395248710187,130.5842,159.814,-0.0,0.9834894,1.6873907,0.0,2,0,0,0
151775537,-33.924564547434805,18.866394001717136,130.31775,159.44751,-0.0,0.98325133,1.687742,0.0,2,0,0,0
152785574,-33.92457536863336,18.86639295811618,130.13565,159.16602,-0.0,0.98361796,1.6874815,0.0,2,0,0,0
