timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
270118980,5.219092,3.3290038,1,0,1,0,1,0,0
270129964,5.1498046,3.3306153,1,0,1,0,1,0,0
270139019,5.1643066,3.3322265,1,0,1,0,1,0,0
270149282,5.1691403,3.3306153,1,0,1,0,1,0,0
270158991,5.165918,3.3531737,1,0,1,0,1,0,0
270169170,5.167529,3.3290038,1,0,1,0,1,0,0
270179142,5.24165,3.3306153,1,0,1,0,1,0,0
270189298,5.2078123,3.3306153,1,0,1,0,1,0,0
270199191,5.2368164,3.3273926,1,0,1,0,1,0,0
270209123,5.24165,3.3531737,1,0,1,0,1,0,0
270219114,5.2384276,3.3547852,1,0,1,0,1,0,0
270229096,5.240039,3.3547852,1,0,1,0,1,0,0
270239142,5.2335935,3.3531737,1,0,1,0,1,0,0
270249095,5.22876,3.325781,1,0,1,0,1,0,0
270258994,5.2368164,3.3322265,1,0,1,0,1,0,0
270269785,5.235205,3.3531737,1,0,1,0,1,0,0
270279012,5.230371,3.3290038,1,0,1,0,1,0,0
270289408,5.240039,3.3290038,1,0,1,0,1,0,0
270299017,5.2384276,3.3580077,1,0,1,0,1,0,0
270309363,5.240039,3.3290038,1,0,1,0,1,0,0
270318952,5.243262,3.3290038,1,0,1,0,1,0,0
270329872,5.2142577,3.3531737,1,0,1,0,1,0,0
270338888,5.2126465,3.3596191,1,0,1,0,1,0,0
270349133,5.219092,3.3547852,1,0,1,0,1,0,0
270359342,5.24165,3.3273926,1,0,1,0,1,0,0
270369134,5.2384276,3.3290038,1,0,1,0,1,0,0
270379230,5.2368164,3.325781,1,0,1,0,1,0,0
270389117,5.243262,3.3322265,1,0,1,0,1,0,0
270399126,5.240039,3.3563964,1,0,1,0,1,0,0
270409110,5.2464843,3.3580077,1,0,1,0,1,0,0
270419128,5.240039,3.3322265,1,0,1,0,1,0,0
270429190,5.2335935,3.3563964,1,0,1,0,1,0,0
270439003,5.2335935,3.3290038,1,0,1,0,1,0,0
270449629,5.24165,3.3354492,1,0,1,0,1,0,0
270459007,5.235205,3.325781,1,0,1,0,1,0,0
270469601,5.235205,3.3580077,1,0,1,0,1,0,0
270478998,5.240039,3.3322265,1,0,1,0,1,0,0
270489269,5.22876,3.3354492,1,0,1,0,1,0,0
270499014,5.2384276,3.3596191,1,0,1,0,1,0,0
270509305,5.244873,3.3306153,1,0,1,0,1,0,0
270518992,5.240039,3.3290038,1,0,1,0,1,0,0
270529944,5.2464843,3.3547852,1,0,1,0,1,0,0
270539321,5.231982,3.3547852,1,0,1,0,1,0,0
270549169,5.231982,3.3273926,1,0,1,0,1,0,0
270559325,5.2142577,3.3580077,1,0,1,0,1,0,0
270569105,5.219092,3.3290038,1,0,1,0,1,0,0
270579146,5.21748,3.3483398,1,0,1,0,1,0,0
270589108,5.220703,3.3547852,1,0,1,0,1,0,0
270599142,5.2368164,3.3322265,1,0,1,0,1,0,0
