timestamp,timestamp_sample,device_id,error_count,pressure,temperature
10410921,10409962,6780433,0,1001.0157,18.81
10454176,10453184,6780433,0,1001.0076,18.81
10497553,10496481,6780433,0,1001.01514,18.81
10540679,10539758,6780433,0,1000.9925,18.81
10583982,10583058,6780433,0,1001.02295,18.81
10627278,10626358,6780433,0,1001.0157,18.81
10670661,10669685,6780433,0,1001.0182,18.81
10713892,10712958,6780433,0,1001.00555,18.81
10757295,10756375,6780433,0,1001.00287,18.81
10800478,10799559,6780433,0,1001.0183,18.82
10843819,10842858,6780433,0,1001.03906,18.82
10887233,10886279,6780433,0,1001.03394,18.82
10930378,10929458,6780433,0,1000.996,18.82
10973827,10972758,6780433,0,1001.01324,18.82
11016978,11016058,6780433,0,1001.016,18.82
11060330,11059372,6780433,0,1000.9908,18.82
11103823,11102691,6780433,0,1001.0036,18.82
11146909,11145991,6780433,0,1001.0036,18.82
11190197,11189275,6780433,0,1001.059,18.82
11233529,11232609,6780433,0,1001.01373,18.82
11276834,11275888,6780433,0,1001.0212,18.82
11320117,11319161,6780433,0,1000.9911,18.82
11363466,11362546,6780433,0,1000.99866,18.82
11406713,11405758,6780433,0,1001.0007,18.82
11450123,11449076,6780433,0,1001.01624,18.82
11493277,11492358,6780433,0,1001.01855,18.82
11536579,11535658,6780433,0,1001.0233,18.82
11579895,11578970,6780433,0,1001.011,18.82
11623259,11622296,6780433,0,1001.0212,18.82
11666479,11665558,6780433,0,1001.011,18.82
11709809,11708859,6780433,0,1001.0032,18.82
11753078,11752158,6780433,0,1001.0082,18.81
11796426,11795458,6780433,0,1000.98755,18.81
11839822,11838869,6780433,0,1001.00085,18.82
11882978,11882058,6780433,0,1000.9928,18.81
11926415,11925359,6780433,0,1001.02295,18.81
11969577,11968658,6780433,0,1000.98535,18.81
12012894,12011964,6780433,0,1001.0212,18.82
12056448,12055312,6780433,0,1001.0132,18.81
12099510,12098590,6780433,0,1001.00555,18.81
12142778,12141858,6780433,0,1001.01324,18.82
12186145,12185166,6780433,0,1001.0032,18.82
12229378,12228458,6780433,0,1001.00854,18.82
12272680,12271758,6780433,0,1001.0137,18.82
12316073,12315153,6780433,0,1000.988,18.81
12359323,12358378,6780433,0,1001.0085,18.82
12402715,12401660,6780433,0,1001.0007,18.82
12445878,12444958,6780433,0,1001.00574,18.82
12489194,12488269,6780433,0,1001.00366,18.82
12532478,12531558,6780433,0,1001.0087,18.82
12575846,12574895,6780433,0,1001.0166,18.83
12619191,12618231,6780433,0,1001.0036,18.82
12662411,12661486,6780433,0,1001.01373,18.82
12705677,12704758,6780433,0,1000.99347,18.82
12749013,12748062,6780433,0,1001.0114,18.83
12792423,12791467,6780433,0,1000.99646,18.83
12835584,12834662,6780433,0,1001.0114,18.83
12879019,12877958,6780433,0,1000.9914,18.83
12922186,12921268,6780433,0,1000.999,18.83
12965486,12964559,6780433,0,1001.0296,18.83
13008779,13007858,6780433,0,1001.00684,18.83
13052112,13051191,6780433,0,1001.00684,18.83
13095383,13094462,6780433,0,1001.0143,18.83
13138722,13137776,6780433,0,1001.0191,18.83
13182033,13181084,6780433,0,1001.0018,18.83
13225338,13224363,6780433,0,1001.014,18.83
13268764,13267818,6780433,0,1000.9936,18.82
13311878,13310958,6780433,0,1001.0087,18.82
13355342,13354271,6780433,0,1001.0346,18.83
13398478,13397558,6780433,0,1000.97577,18.82
13441778,13440858,6780433,0,1001.01184,18.83
13485083,13484160,6780433,0,1001.00653,18.83
13528410,13527490,6780433,0,1001.0268,18.83
13571679,13570758,6780433,0,1001.0169,18.83
13615016,13614059,6780433,0,1001.0215,18.83
13658295,13657358,6780433,0,1001.0166,18.83
13701579,13700658,6780433,0,1000.9936,18.82
13745032,13744070,6780433,0,1000.9962,18.83
13788189,13787267,6780433,0,1000.9783,18.82
13831621,13830573,6780433,0,1001.00854,18.82
13874779,13873858,6780433,0,1001.0191,18.83
13918083,13917160,6780433,0,1001.0244,18.83
13961381,13960458,6780433,0,1001.0166,18.83
14004714,14003788,6780433,0,1001.0091,18.83
14048025,14047060,6780433,0,1001.0194,18.83
14091316,14090393,6780433,0,1000.9915,18.83
14134581,14133658,6780433,0,1001.0216,18.83
14177883,14176960,6780433,0,1001.02216,18.83
14221274,14220354,6780433,0,1001.0169,18.83
14264489,14263562,6780433,0,1001.035,18.84
14307917,14306858,6780433,0,1000.9943,18.83
14351080,14350158,6780433,0,1000.99426,18.83
14394379,14393458,6780433,0,1001.0197,18.84
14437677,14436758,6780433,0,1001.0096,18.83
14481010,14480090,6780433,0,1001.0073,18.84
14524299,14523358,6780433,0,1001.00684,18.83
14567609,14566658,6780433,0,1000.98895,18.83
14610964,14609983,6780433,0,1001.0173,18.84
14654237,14653272,6780433,0,1001.00195,18.83
14697661,14696741,6780433,0,1000.9864,18.83
14740814,14739862,6780433,0,1001.00433,18.83
14784173,14783158,6780433,0,1001.02435,18.83
14827378,14826458,6780433,0,1001.03235,18.84
14870687,14869766,6780433,0,1001.02216,18.83
14913978,14913058,6780433,0,1000.9864,18.83
14957405,14956437,6780433,0,1000.9939,18.83
15000579,14999659,6780433,0,1001.019,18.83
15043912,15042959,6780433,0,1001.02466,18.83
15087207,15086268,6780433,0,1001.0297,18.83
15130480,15129559,6780433,0,1001.0143,18.83
15173940,15172994,6780433,0,1001.0148,18.84
15217076,15216157,6780433,0,1001.00964,18.84
15260514,15259460,6780433,0,1001.0222,18.84
15303709,15302758,6780433,0,1001.02515,18.84
15346979,15346059,6780433,0,1001.01245,18.84
15390283,15389359,6780433,0,1000.9647,18.84
15433686,15432692,6780433,0,1001.0154,18.85
15476881,15475963,6780433,0,1001.0179,18.85
