timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9470985,9470782,0.00032473617,0.000490145,0.0018701405
9503495,9503286,-0.0007221095,-0.00039471406,0.000999759
9538496,9538289,-0.00055109337,-0.000326144,0.0010184427
9569753,9569545,-0.00045021024,0.0001670922,-3.113719e-05
9604752,9604548,-0.00047416365,-0.00028841902,0.00036967997
9636015,9635800,-4.4701166e-05,0.0010931749,0.0006872964
9667259,9667056,-0.00046201816,-0.000340043,0.0011350565
9702261,9702056,7.091078e-05,6.7151006e-05,-2.8451248e-05
9733516,9733310,-0.00047447885,0.0006663198,0.0007983123
9768520,9768314,-0.0005063754,0.00016387147,0.00040991267
9801021,9800817,0.00020032162,-5.9841255e-05,-0.00021007762
9836031,9835821,0.0002701891,0.00033491798,0.00037390573
9867278,9867074,-0.0003398633,0.00023049688,0.0012395583
9898536,9898328,0.00022007912,0.00043608222,0.000381798
9933536,9933331,0.00065297115,-0.0005823707,0.0008207159
9964799,9964596,0.00061920064,-0.0006009446,0.0007320576
9999796,9999590,0.00028327256,-0.00031133703,0.0004234789
10031044,10030841,0.00023541301,0.00032178155,0.0005673294
10066048,10065845,-3.469994e-05,-0.00022548143,0.00063832913
10098561,10098348,-0.0005862448,-0.00013814124,1.7966404e-05
10129806,10129602,0.00057483104,-0.0003846952,0.00044037952
10164816,10164609,0.00050346646,-0.000755697,-0.00010953579
10196066,10195859,8.6358545e-05,0.00027354623,0.00016596362
10231067,10230862,-0.0006837647,-0.00043247384,0.0003799054
10262318,10262116,0.00017733208,-0.0006265706,0.001265176
10297322,10297120,0.00047953968,-0.0005216574,0.00039460792
10328581,10328373,0.0010102369,-0.0002394349,0.00029467366
10361089,10360876,-0.00036203847,-0.00023656247,0.00048432936
10396095,10395880,-0.00037827002,2.3260914e-06,0.0011226105
10427335,10427133,1.5381813e-05,-7.495114e-05,8.231423e-05
10462339,10462137,0.00093147956,4.240536e-05,0.0008246955
10493596,10493390,-0.00012100356,-2.6522375e-05,0.00083171035
10528649,10528442,-0.00018647863,0.00042151535,0.0005262829
10559850,10559647,0.0013241712,-0.00025875913,0.00048470392
10591105,10590900,-0.00028951556,-0.00021228485,0.00087689
10626166,10625956,0.00015539714,-0.0003590909,0.0012620526
10658618,10658408,0.00028667017,0.0002742743,0.000539318
10693627,10693411,0.00039109532,0.00012928463,0.0006374945
10724872,10724665,-0.00060677185,-0.0011971444,0.0002474119
10759872,10759668,-0.0007187815,-0.00011876444,0.00089897827
10791136,10790925,-5.7169236e-06,0.00050288247,0.00045029938
10822377,10822175,0.00022249119,0.00023395651,0.000920408
10857391,10857180,-0.00025231994,1.09971015e-05,0.00069776137
10888639,10888432,0.00035290996,0.0007097849,-0.000898193
10923645,10923436,-0.00038200972,-0.00022309563,0.00071288174
10954924,10954717,0.00018536042,0.000108049506,0.0002066167
10989894,10989693,-0.00018017487,0.0005632683,0.0007675824
11022408,11022199,-0.00033250445,0.00034705125,0.00041606033
11053661,11053452,0.00012395691,-0.00012232052,0.00094985607
11088659,11088453,-0.00022528289,0.0003798261,-0.00019644263
11119920,11119707,-0.0007251286,0.00013107574,0.00091104105
11154932,11154713,0.0010590989,0.0002542537,0.0012120614
11186167,11185964,-0.000114552495,-0.0004778295,0.00094154524
11221179,11220972,0.0005429352,-0.000101845435,0.0007195012
11252425,11252221,-0.0005702604,4.4036474e-06,0.00045597527
11284935,11284724,0.00050527416,0.00010467937,0.0011586624
11319933,11319728,0.0003456997,-0.0006758491,0.0007770486
11351241,11351031,4.7583322e-05,0.000253353,8.078082e-05
11386187,11385985,0.00071517384,0.0008207054,0.0004091508
11417442,11417238,-0.0003798688,0.00022234968,0.0013415852
11452445,11452242,-5.978955e-05,0.00013617828,-0.00026179623
11483700,11483495,-0.000118064905,0.0005234917,0.00017773529
11514974,11514753,0.00035660047,-0.0009742511,-0.00021110245
11549962,11549752,-0.00047328163,0.00040284728,0.0010983555
