timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
59197983,0.08566548,-0.030181384,-0.21186301
59231738,0.08566548,-0.0331361,-0.21186301
59265506,0.08566548,-0.030181384,-0.205891
59299271,0.08566548,-0.030181384,-0.208877
59321768,0.08259694,-0.036090814,-0.208877
59355534,0.08566548,-0.0331361,-0.205891
59389316,0.08566548,-0.0331361,-0.21186301
59434270,0.08566548,-0.0331361,-0.21783501
59456830,0.08259694,-0.0331361,-0.21186301
59490531,0.08259694,-0.036090814,-0.205891
59524293,0.08566548,-0.0331361,-0.205891
59558026,0.08259694,-0.036090814,-0.205891
59591779,0.08259694,-0.036090814,-0.21186301
59625580,0.08566548,-0.036090814,-0.21186301
59659301,0.08566548,-0.036090814,-0.21186301
59693048,0.08566548,-0.036090814,-0.21186301
59726790,0.08566548,-0.036090814,-0.21186301
59749353,0.08873403,-0.03904553,-0.208877
59794323,0.08259694,-0.03904553,-0.21186301
59828083,0.08566548,-0.03904553,-0.20290501
59850563,0.08259694,-0.03904553,-0.21186301
59884314,0.08566548,-0.03904553,-0.205891
59918119,0.07952839,-0.042000253,-0.21186301
59951829,0.08259694,-0.03904553,-0.205891
59985581,0.07952839,-0.036090814,-0.19991902
60019352,0.08259694,-0.0331361,-0.208877
60053110,0.08873403,-0.0331361,-0.21186301
60086843,0.08566548,-0.0331361,-0.21186301
60120672,0.08566548,-0.0331361,-0.20290501
60154404,0.08259694,-0.030181384,-0.208877
60188135,0.08259694,-0.0331361,-0.21186301
60221867,0.08259694,-0.036090814,-0.205891
60244427,0.08259694,-0.0331361,-0.205891
60289422,0.08259694,-0.0331361,-0.21186301
60311885,0.07952839,-0.0331361,-0.205891
60345639,0.08259694,-0.036090814,-0.208877
60379405,0.08259694,-0.036090814,-0.208877
60424430,0.08259694,-0.0331361,-0.21783501
60446937,0.08259694,-0.0331361,-0.205891
60480655,0.08259694,-0.0331361,-0.21186301
60514381,0.07952839,-0.0331361,-0.208877
60548144,0.07952839,-0.0331361,-0.205891
60581890,0.08259694,-0.0331361,-0.21783501
60615698,0.07952839,-0.0331361,-0.21783501
60649463,0.07952839,-0.030181384,-0.208877
60683158,0.08259694,-0.0331361,-0.208877
60705710,0.07952839,-0.0331361,-0.205891
60739503,0.08259694,-0.0331361,-0.21484901
60784433,0.08259694,-0.0331361,-0.20290501
60818240,0.07952839,-0.036090814,-0.21186301
60840699,0.07952839,-0.0331361,-0.208877
60874455,0.08259694,-0.036090814,-0.21186301
60908253,0.08259694,-0.036090814,-0.205891
60942841,0.07952839,-0.0331361,-0.208877
60976653,0.07952839,-0.0331361,-0.208877
61010290,0.07952839,-0.0331361,-0.208877
61044041,0.08259694,-0.0331361,-0.205891
61077803,0.08259694,-0.036090814,-0.205891
61111567,0.08873403,-0.03904553,-0.205891
61145375,0.08566548,-0.03904553,-0.208877
61179179,0.08873403,-0.03904553,-0.20290501
61212854,0.08259694,-0.03904553,-0.21186301
61235320,0.08873403,-0.03904553,-0.208877
61269130,0.08873403,-0.03904553,-0.20290501
61302860,0.091802575,-0.042000253,-0.205891
61336576,0.08873403,-0.042000253,-0.20290501
61370343,0.08566548,-0.042000253,-0.205891
61404100,0.08259694,-0.044954967,-0.205891
61437870,0.08873403,-0.044954967,-0.205891
61471650,0.08566548,-0.044954967,-0.20290501
61505412,0.08873403,-0.044954967,-0.20290501
61539112,0.08873403,-0.042000253,-0.208877
61572865,0.08566548,-0.042000253,-0.20290501
61606663,0.08873403,-0.044954967,-0.20290501
61629231,0.08873403,-0.042000253,-0.208877
61674200,0.08873403,-0.044954967,-0.20290501
61707867,0.091802575,-0.042000253,-0.208877
61741616,0.08873403,-0.042000253,-0.208877
61764236,0.08873403,-0.03904553,-0.205891
61809252,0.09487112,-0.042000253,-0.20290501
61831647,0.08566548,-0.042000253,-0.21186301
61865387,0.091802575,-0.042000253,-0.20290501
61899152,0.091802575,-0.042000253,-0.205891
61932899,0.08873403,-0.042000253,-0.20290501
61966684,0.08873403,-0.042000253,-0.19991902
62000460,0.091802575,-0.042000253,-0.205891
62034150,0.08873403,-0.042000253,-0.19991902
62067904,0.08873403,-0.042000253,-0.19991902
62101672,0.08566548,-0.03904553,-0.205891
62135451,0.08566548,-0.03904553,-0.21484901
62169287,0.08566548,-0.03904553,-0.20290501
62202975,0.08566548,-0.03904553,-0.208877
62225479,0.08873403,-0.03904553,-0.208877
62259293,0.08566548,-0.036090814,-0.205891
62304189,0.08873403,-0.03904553,-0.205891
62326802,0.08873403,-0.036090814,-0.205891
62360484,0.08873403,-0.03904553,-0.205891
62394243,0.08873403,-0.03904553,-0.21186301
62427989,0.08566548,-0.03904553,-0.208877
62461816,0.08566548,-0.036090814,-0.20290501
62495576,0.08566548,-0.03904553,-0.205891
62529260,0.08566548,-0.03904553,-0.19991902
62563000,0.08566548,-0.03904553,-0.205891
62596762,0.08566548,-0.036090814,-0.21484901
62619275,0.08566548,-0.036090814,-0.205891
62664342,0.08873403,-0.036090814,-0.21186301
62698094,0.08566548,-0.036090814,-0.193947
62731782,0.08873403,-0.036090814,-0.19991902
62754254,0.08566548,-0.036090814,-0.205891
62788037,0.08873403,-0.036090814,-0.21484901
62821798,0.08873403,-0.036090814,-0.21186301
62855494,0.08873403,-0.036090814,-0.20290501
62889251,0.08259694,-0.036090814,-0.208877
62922999,0.08566548,-0.0331361,-0.205891
62956811,0.08566548,-0.036090814,-0.20290501
62990566,0.08566548,-0.036090814,-0.208877
63024381,0.08566548,-0.036090814,-0.20290501
63058060,0.08873403,-0.036090814,-0.208877
63091820,0.08566548,-0.03904553,-0.205891
63125572,0.08566548,-0.03904553,-0.21186301
63159397,0.08873403,-0.042000253,-0.20290501
63193156,0.08873403,-0.042000253,-0.205891
63215541,0.08566548,-0.042000253,-0.19991902
63249295,0.08873403,-0.03904553,-0.205891
63294340,0.08873403,-0.042000253,-0.205891
63316954,0.08873403,-0.042000253,-0.205891
63350545,0.08873403,-0.042000253,-0.20290501
63384297,0.08873403,-0.042000253,-0.208877
63418102,0.08873403,-0.042000253,-0.21186301
63451821,0.091802575,-0.03904553,-0.208877
63485613,0.08873403,-0.042000253,-0.205891
63519380,0.091802575,-0.042000253,-0.19991902
63553106,0.08873403,-0.03904553,-0.19991902
63586834,0.091802575,-0.042000253,-0.205891
63609378,0.091802575,-0.03904553,-0.20290501
63654375,0.08873403,-0.03904553,-0.205891
63688129,0.091802575,-0.042000253,-0.205891
63710593,0.08873403,-0.042000253,-0.20290501
63744354,0.08873403,-0.042000253,-0.205891
63778131,0.091802575,-0.042000253,-0.205891
63812671,0.091802575,-0.03904553,-0.205891
63846166,0.091802575,-0.03904553,-0.208877
63879787,0.08873403,-0.042000253,-0.19991902
63913527,0.08566548,-0.042000253,-0.205891
63947273,0.091802575,-0.042000253,-0.205891
63981046,0.08873403,-0.042000253,-0.205891
64014773,0.08566548,-0.03904553,-0.19991902
64048594,0.08873403,-0.03904553,-0.205891
64082302,0.08873403,-0.03904553,-0.20290501
64116044,0.091802575,-0.036090814,-0.205891
64149814,0.08873403,-0.03904553,-0.205891
64172313,0.08566548,-0.036090814,-0.205891
64206083,0.08873403,-0.036090814,-0.208877
64239802,0.08259694,-0.036090814,-0.205891
64284826,0.08259694,-0.036090814,-0.205891
64307309,0.08566548,-0.036090814,-0.205891
64341125,0.08873403,-0.036090814,-0.205891
64374863,0.08566548,-0.03904553,-0.21186301
64408577,0.08566548,-0.036090814,-0.21186301
64442332,0.08566548,-0.036090814,-0.20290501
64476085,0.08566548,-0.03904553,-0.205891
64509834,0.08259694,-0.03904553,-0.205891
64543609,0.08566548,-0.036090814,-0.205891
64577391,0.07952839,-0.036090814,-0.205891
64599838,0.08259694,-0.036090814,-0.208877
64644846,0.08566548,-0.03904553,-0.208877
64678603,0.08566548,-0.03904553,-0.208877
64701160,0.08566548,-0.036090814,-0.205891
64734861,0.08259694,-0.03904553,-0.205891
64768628,0.08259694,-0.036090814,-0.205891
64802364,0.08259694,-0.036090814,-0.205891
64836143,0.08259694,-0.036090814,-0.208877
64869889,0.07952839,-0.03904553,-0.205891
64903663,0.08259694,-0.03904553,-0.205891
64937375,0.08259694,-0.03904553,-0.205891
64971165,0.08566548,-0.03904553,-0.205891
65004908,0.08566548,-0.03904553,-0.21186301
65038706,0.08566548,-0.042000253,-0.205891
65072509,0.08259694,-0.03904553,-0.21186301
65094951,0.08566548,-0.03904553,-0.20290501
65139961,0.08566548,-0.042000253,-0.208877
65162459,0.08566548,-0.042000253,-0.208877
65196234,0.08566548,-0.042000253,-0.208877
65229949,0.08873403,-0.042000253,-0.205891
65274939,0.08566548,-0.042000253,-0.20290501
65297429,0.08566548,-0.042000253,-0.208877
65331182,0.08566548,-0.042000253,-0.205891
65364949,0.08259694,-0.042000253,-0.21186301
65398715,0.08873403,-0.042000253,-0.205891
65432439,0.08566548,-0.044954967,-0.20290501
65466189,0.08566548,-0.042000253,-0.19991902
65499950,0.08873403,-0.044954967,-0.205891
65533700,0.08873403,-0.044954967,-0.205891
65567495,0.08566548,-0.042000253,-0.19991902
65601240,0.08566548,-0.044954967,-0.208877
65634959,0.08566548,-0.044954967,-0.21186301
65668711,0.08566548,-0.042000253,-0.205891
65691299,0.08873403,-0.042000253,-0.19991902
65725037,0.08566548,-0.042000253,-0.19991902
65758768,0.08873403,-0.03904553,-0.205891
65792525,0.08873403,-0.042000253,-0.208877
65826291,0.08873403,-0.042000253,-0.21186301
65860060,0.08873403,-0.042000253,-0.205891
65893762,0.08566548,-0.03904553,-0.20290501
65927515,0.08566548,-0.036090814,-0.20290501
65961313,0.08566548,-0.03904553,-0.21186301
65995019,0.08566548,-0.03904553,-0.205891
66028802,0.08259694,-0.042000253,-0.21783501
66062570,0.08566548,-0.03904553,-0.208877
66085013,0.08566548,-0.042000253,-0.205891
66130033,0.08566548,-0.03904553,-0.21186301
66163784,0.08873403,-0.03904553,-0.208877
66197543,0.08566548,-0.03904553,-0.205891
66220051,0.08566548,-0.03904553,-0.208877
66253786,0.08873403,-0.03904553,-0.205891
66287528,0.08566548,-0.036090814,-0.208877
66321293,0.08873403,-0.03904553,-0.205891
66355047,0.08566548,-0.03904553,-0.20290501
66388818,0.08566548,-0.03904553,-0.19991902
66422568,0.08566548,-0.036090814,-0.205891
66456314,0.08566548,-0.036090814,-0.205891
66490069,0.08566548,-0.036090814,-0.21186301
66523822,0.08566548,-0.036090814,-0.21186301
66557639,0.08873403,-0.0331361,-0.205891
66591394,0.08566548,-0.0331361,-0.208877
66625095,0.08873403,-0.036090814,-0.205891
66658883,0.08259694,-0.036090814,-0.20290501
66681359,0.08566548,-0.036090814,-0.19991902
66715979,0.08873403,-0.036090814,-0.208877
66749718,0.08566548,-0.036090814,-0.208877
66783430,0.08566548,-0.03904553,-0.205891
66817190,0.08566548,-0.03904553,-0.21186301
66850946,0.08566548,-0.03904553,-0.21186301
66884739,0.08873403,-0.03904553,-0.208877
66918509,0.08566548,-0.03904553,-0.205891
66952217,0.08566548,-0.03904553,-0.208877
66985952,0.08566548,-0.042000253,-0.20290501
67019712,0.08873403,-0.042000253,-0.21186301
67053470,0.08566548,-0.03904553,-0.21186301
67075981,0.08873403,-0.03904553,-0.19991902
67109713,0.08566548,-0.03904553,-0.205891
67154717,0.08873403,-0.03904553,-0.205891
67177253,0.091802575,-0.042000253,-0.205891
67211023,0.08873403,-0.042000253,-0.20290501
67244782,0.08566548,-0.042000253,-0.208877
67278483,0.08873403,-0.042000253,-0.19991902
67312242,0.08873403,-0.044954967,-0.20290501
67346001,0.08873403,-0.042000253,-0.208877
67379798,0.08873403,-0.042000253,-0.205891
67413545,0.08873403,-0.042000253,-0.20290501
67447303,0.08873403,-0.042000253,-0.19991902
67469815,0.08873403,-0.044954967,-0.205891
67514766,0.08873403,-0.042000253,-0.20290501
67548532,0.08873403,-0.042000253,-0.205891
67582319,0.08873403,-0.042000253,-0.208877
67604858,0.08873403,-0.042000253,-0.205891
67638569,0.091802575,-0.042000253,-0.20290501
67672297,0.08566548,-0.03904553,-0.208877
67706107,0.08873403,-0.042000253,-0.20290501
67739860,0.08873403,-0.042000253,-0.20290501
67773538,0.08566548,-0.03904553,-0.208877
67807295,0.08259694,-0.03904553,-0.21186301
67841108,0.07645985,-0.03904553,-0.21186301
67874814,0.07032276,-0.042000253,-0.205891
